surface_family,source_csv,source_sha256,source_row,group,registered_entrypoint,caller_or_trigger,gate,identity_user_scope,sink_or_effect,verdict,evidence,finding_id,area,conclusion,status,evidence_file,line_or_address,sha256,unknown_or_limit,surface,result,source_config,dt_init_ueventd_file_contexts_vendor_te,built_in_or_module,exact_native_apk_caller,package_home_privilege_sink,unknown_boundary,evidence_sha256,Test ID,Phase scope,Route/test family,Whether state truly changed,Whether sustainable,Failure reason,Already excluded,Next safe minimum verification,Original evidence paths,Original evidence SHA-256,id,sink_class,operation,exact_build_path,line_or_offset,binder_interface,transaction,publication_or_service,permission_selinux_service_manager_gate,caller_or_publisher,user_scope,target_or_literal,confidence,unknowns
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,21,,,,,,,,,,,,,,,,,,,,,,,,,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,,,,,,,,,,,VE-020,PackageManagerService,common enabled-state sink/setComponentEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,954239/sink helper,IPackageManager transaction target,UNKNOWN,package service manager `package`,common setEnabledSetting validation; system_server internal,PackageManagerService,userId argument,component/package state,static sink,SELinux exact rule UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,22,,,,,,,,,,,,,,,,,,,,,,,,,373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53,,,,,,,,,,,VE-021,SystemImpl,enablePackageForUser/setApplicationEnabledSetting,decompiled/baksmali/vdexExtractor/services/disassembly.log,1021399/IP=0x388692,IPackageManager,UNKNOWN,webkit/system_server path,caller/data-flow UNKNOWN,SystemImpl,user argument,package for user,static direct,exact gate UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,23,,,,,,,,,,,,,,,,,,,,,,,,,47cda8ecce8ad5ac0343dec5a202aded878a838fd7d6a8659ff38b3439ac738,,,,,,,,,,,VE-022,PackageManagerService,setHomeActivity/setHomeActivity,decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/PackageManagerService.java,13817,IPackageManager,UNKNOWN,package service manager `package`,PMS HOME setter; caller permission gate not visible at this method,PackageManagerService,userId,HOME component; android.intent.category.HOME,static sink,exact transaction and SELinux UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,24,,,,,,,,,,,,,,,,,,,,,,,,,47cda8ecce8ad5ac0343dec5a202aded878a838fd7d6a8659ff38b3439ac738,,,,,,,,,,,VE-023,PackageManagerService,setHomeActivity -> replacePreferredActivity,decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/PackageManagerService.java,13838,IPackageManager,UNKNOWN,package service manager `package`,delegates to replacePreferredActivity; getCallingUid observed,PackageManagerService,userId,HOME filter,static sink,spacing/path normalized; exact tx UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,25,,,,,,,,,,,,,,,,,,,,,,,,,47cda8ecce8ad5ac0343dec5a202aded878a838fd7d6a8659ff38b3439ac738,,,,,,,,,,,VE-024,PackageManagerService,replacePreferredActivity,decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/PackageManagerService.java,13120-13137,IPackageManager,UNKNOWN,package service manager `package`,checkCallingOrSelfPermission; SET_PREFERRED_APPLICATIONS; getCallingUid,caller UID,explicit userId,preferred HOME/activity,static sink,SELinux exact rule UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,26,,,,,,,,,,,,,,,,,,,,,,,,,47cda8ecce8ad5ac0343dec5a202aded878a838fd7d6a8659ff38b3439ac738,,,,,,,,,,,VE-025,PackageManagerService,addPreferredActivity,decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/PackageManagerService.java,13049-13065,IPackageManager,UNKNOWN,package service manager `package`,checkCallingOrSelfPermission; SET_PREFERRED_APPLICATIONS; getCallingUid,caller UID,explicit userId,preferred activity,static sink,SELinux exact rule UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,27,,,,,,,,,,,,,,,,,,,,,,,,,47cda8ecce8ad5ac0343dec5a202aded878a838fd7d6a8659ff38b3439ac738,,,,,,,,,,,VE-026,PackageManagerService,addPersistentPreferredActivity,decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/PackageManagerService.java,13345,IPackageManager,UNKNOWN,package service manager `package`,caller UID observed; policy/admin gate exactness UNKNOWN,caller UID,explicit userId,persistent preferred activity,static sink,permission exactness UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,28,,,,,,,,,,,,,,,,,,,,,,,,,47cda8ecce8ad5ac0343dec5a202aded878a838fd7d6a8659ff38b3439ac738,,,,,,,,,,,VE-027,PackageManagerService,clearPackagePreferredActivities,decompiled/jadx/ota-PS7331/systemui/sources/com/android/server/pm/PackageManagerService.java,13208-13217,IPackageManager,UNKNOWN,package service manager `package`,checkCallingOrSelfPermission; SET_PREFERRED_APPLICATIONS; getCallingUid,caller UID,UNKNOWN,package preferred state,static sink,user scope UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,29,,,,,,,,,,,,,,,,,,,,,,,,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,,,VE-028,AmazonUserManagerService$BinderService,setUserSetupComplete -> putIntForUser,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,54524-54566,AmazonUserManagerService private Binder surface; ContentResolver settings writer,UNKNOWN,private Amazon user manager; Binder.clear/restore identity,UNKNOWN,AmazonUserManagerService$BinderService,UserInfo-derived user,USER_SETUP_COMPLETE/setup state,static direct,setting key and transaction UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,30,,,,,,,,,,,,,,,,,,,,,,,,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,,,,,,,,,,VE-029,AmazonUserManagerService$BinderService,setUserSortedList -> file writer,setUserSortedList,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,54567-54699,AmazonUserManagerService private Binder surface,UNKNOWN,private Amazon user manager; file persistence gate UNKNOWN,AmazonUserManagerService$BinderService,UNKNOWN,sorted user list file,static sink,file path/SELinux UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,31,,,,,,,,,,,,,,,,,,,,,,,,,02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,,,,,,,,,,,VE-030,update-binary,block_image_update -> PerformBlockImageUpdate -> WriteToPartition,native update-binary,registration 0x40d144; handler 0x40b8b8; WriteToPartition 0x413c40,N/A (native registry; no Binder),N/A,update-binary/recovery execution context,boot/recovery/service-manager/SELinux gate UNKNOWN,update-binary handler,UNKNOWN,partition target supplied by OTA script,static native sink,execution not performed; exact runtime gate UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,32,,,,,,,,,,,,,,,,,,,,,,,,,02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,,,,,,,,,,,VE-031,update-binary,block_image_recover -> WipeBlockDeviceFn,native update-binary,handler 0x40cbc0; WipeBlockDeviceFn 0x406508,N/A (native registry; no Binder),N/A,update-binary/recovery execution context,boot/recovery/SELinux gate UNKNOWN,update-binary handler,UNKNOWN,partition/device target supplied by OTA script,static native sink,exact partition and gate UNKNOWN
6VE Framework IPC sink inventory,work/luna_worker_phase6ve_framework_sink_inventory_20260810.csv,42d609d5d427fb691031e54caf9d25ee62718f9be64f7bf32fbc53d7eb88ab6a,33,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,VE-032,recovery updater,block_image_update script sink,artifacts/phase6kt-recovery-verifier-audit-20260810-01/audit.json,lines 327-332,N/A (recovery command),N/A,recovery verifier/update-binary,signature/boot/recovery/SELinux gates UNKNOWN,recovery script,UNKNOWN,system/vendor block partitions,static reference,source hash not present in bounded row
